City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
komarikhinskiy,58.1,8.6,92,90,13.42
tara,33,41.9,60,75,2.24
yoichi,43.19,26.6,49,75,21.92
jumla,29.28,16.15,90,56,1.68
peniche,39.36,44.65,53,0,2.24
juazeiro,-9.43,82.4,45,0,5.82
hunza,nan,nan,nan,nan,nan
pimenta bueno,-11.68,72.81,96,80,1.34
el mahalla el kubra,nan,nan,nan,nan,nan
camana,nan,nan,nan,nan,nan
divnogorsk,55.96,5,84,0,5.37
fallon,46.84,23,49,1,14.99
carutapera,-1.2,74.92,100,56,4.25
black river,18.03,80.6,74,75,11.41
talakan,50.29,-9.68,67,44,4.76
kintampo,8.05,70.15,46,20,3.8
beringovskiy,63.05,23.58,89,92,38.03
campobasso,41.56,33.21,93,88,0.74
zhangjiakou,40.77,-5,61,8,2.3
wanaka,-44.7,67.59,28,76,5.88
thunder bay,48.41,17.6,72,90,19.46
kasempa,-13.46,64.39,95,88,5.03
ust-omchug,61.13,-37.31,0,32,2.46
bitam,2.08,70.47,95,0,2.75
roura,4.73,77,83,20,2.24
kjopsvik,68.1,32,100,36,14.99
camabatela,-8.19,64.89,98,88,3.09
iskateley,67.68,-2.53,73,68,12.03
esso,55.93,-7.21,52,36,2.24
jinka,5.79,54.04,60,0,1.45
brus laguna,15.75,72.04,94,80,2.35
pisco,-13.71,71.6,30,75,14.99
orito,0.67,84.2,70,90,4.7
antofagasta,-23.65,68,68,20,12.75
nome,30.04,68.63,78,90,4.7
buala,-8.15,82.71,95,32,5.1
ho,nan,nan,nan,nan,nan
kasongo,-4.43,67.99,100,80,2.46
hajipur,25.69,53.6,81,0,8.05
taltal,-25.41,61.47,78,0,2.68
alta floresta,-9.87,75.2,94,40,3.36
naze,5.43,69.8,73,12,6.55
jabiru,nan,nan,nan,nan,nan
nogliki,51.8,-0.5,100,0,13.65
san angelo,31.46,57.92,40,1,11.41
koygorodok,60.44,22.99,87,88,5.77
megion,61.04,6.8,84,90,6.71
husavik,50.56,12.15,85,88,19.42
porto belo,-27.15,79.16,88,75,4.7
kieta,-6.22,84.42,95,0,3.2
muli,22.62,47.52,77,0,6.38
mayo,63.59,-41.81,64,20,2.57
vanimo,-2.67,83.16,99,76,14.38
altagracia de orituco,9.86,78.97,56,12,14.54
merauke,-8.49,84.37,85,88,10.58
great falls,47.5,23.16,58,20,5.82
majene,-3.54,82.75,99,8,5.48
nortelandia,-14.45,76.45,84,32,3.58
ampanihy,-24.69,70.02,95,0,7.27
umea,63.83,21.2,92,0,5.82
kusk,nan,nan,nan,nan,nan
tiarei,-17.53,82.4,83,90,9.17
xai-xai,-25.04,72.67,100,88,8.84
darhan,49.49,-5.59,50,0,5.82
wyndham,51.61,39.29,86,75,5.82
bowmore,34.94,63.64,57,1,13.87
arak,34.1,24.75,84,36,2.19
kencong,-7.78,74.79,88,44,3.76
okhotsk,59.36,-6.53,100,80,8.5
paita,-5.09,78.79,68,76,7.61
marv dasht,nan,nan,nan,nan,nan
chesley,44.3,35.6,93,90,2.24
porto novo,-23.68,73.4,78,0,1.12
mikhaylovka,52.96,-9.86,49,0,1.86
alugan,12.22,78.79,95,92,16.06
geraldton,49.72,19.4,85,90,8.05
sioux lookout,50.1,9.97,78,90,16.11
puerto el triunfo,13.27,82.31,74,40,3.36
kulhudhuffushi,6.62,81.22,100,0,8.23
asau,nan,nan,nan,nan,nan
dalianwan,39.03,17.6,52,0,2.24
le port,42.87,22.9,84,0,3.24
angoche,-16.23,80.46,100,20,12.41
gongzhuling,43.5,3.1,56,0,20.09
kargat,55.19,7.87,81,76,9.06
taksimo,56.36,-23.77,31,32,1.45
samagaltay,50.6,-38.8,0,8,2.35
tezu,27.93,41.35,67,0,1.34
urulga,nan,nan,nan,nan,nan
la primavera,-32.92,79.24,29,0,0.96
port victoria,-34.5,65.79,89,0,10.92
khonuu,nan,nan,nan,nan,nan
ponferrada,42.55,22.72,75,0,1.57
longlac,nan,nan,nan,nan,nan
galeana,24.83,58.27,72,0,3.76
kendari,-3.99,75.96,98,76,2.46
malakal,nan,nan,nan,nan,nan
noumea,-22.28,87.8,48,20,12.75
grand centre,nan,nan,nan,nan,nan
shelburne,44.08,37.47,100,90,2.24
mastic beach,40.77,44.13,89,90,5.82
healesville,-37.65,65.44,48,75,17.22
nueva esperanza,14.92,80.6,65,40,13.87
lakes entrance,-37.88,62.1,100,88,11.14
cherdyn,60.4,15.34,74,64,7.56
chulman,56.84,-1.18,71,56,4.21
dandong,40.12,-5.14,56,0,2.46
pimentel,-3.7,74.79,96,88,2.8
eenhana,-17.48,86,15,12,6.93
ardakan,32.31,46.4,33,40,6.93
samalaeulu,nan,nan,nan,nan,nan
bafoulabe,13.81,67.72,50,0,5.82
vicuna,nan,nan,nan,nan,nan
tiznit,29.7,49,69,0,4.03
muzhi,65.4,-20.62,59,24,4.09
ballina,54.11,40.68,100,56,3.2
bursol,nan,nan,nan,nan,nan
auki,12.18,60.48,35,8,8.34
casa grande,32.88,66.52,60,1,5.82
